date,favorite_count,followers_count,friends_count,retweet_count,retweeted,tweet_id,user_id
7/18/2019 15:38,0,20,86,0,False,272,"10,43,10,00,00,00,00,00,000"
7/18/2019 15:37,1,301,474,0,False,273,"42,39,96,090"
7/18/2019 15:36,3,65,94,0,False,274,"8,08,17,70,00,00,00,00,000"
7/18/2019 15:36,2,170,7,2,False,275,"10,31,96,00,00,00,00,00,000"
7/18/2019 15:36,0,544,1522,0,False,276,"11,55,73,757"
7/18/2019 15:35,0,65,524,0,False,277,"8,45,63,20,00,00,00,00,000"
7/18/2019 15:33,0,17,425,0,False,278,"1,09,30,81,116"
7/18/2019 15:29,0,62,39,0,False,279,"13,25,76,474"
7/18/2019 15:29,0,41,239,0,False,280,"29,42,53,708"
7/18/2019 15:28,0,4,173,0,False,281,"9,32,48,30,00,00,00,00,000"
7/18/2019 15:24,0,57,98,0,False,282,"8,67,74,096"
7/18/2019 15:24,0,44,108,0,False,283,"38,30,38,087"
7/18/2019 15:24,0,0,0,0,False,284,"11,51,87,00,00,00,00,00,000"
7/18/2019 15:23,0,1498,1390,0,False,285,"2,53,27,86,757"
7/18/2019 15:23,1,1017,85,0,False,286,"1,68,37,45,484"
7/18/2019 15:21,0,3,189,0,False,287,"2,87,45,57,034"
7/18/2019 15:20,0,12212,42,0,False,288,"9,88,36,30,00,00,00,00,000"
7/18/2019 15:20,0,12212,42,0,False,289,"9,88,36,30,00,00,00,00,000"
7/18/2019 15:20,0,16,144,0,False,290,"11,38,87,00,00,00,00,00,000"
7/18/2019 15:18,0,907,60,0,False,291,"2,90,96,48,964"
7/18/2019 15:17,0,148,1302,0,False,292,"9,41,52,90,00,00,00,00,000"
7/18/2019 15:16,0,95,946,0,False,293,"8,18,32,60,00,00,00,00,000"
7/18/2019 15:12,0,55,499,0,False,294,"55,47,95,962"
7/18/2019 15:10,0,587,694,0,False,295,"49,56,95,185"
7/18/2019 15:09,0,28,387,0,False,296,"9,67,70,70,00,00,00,00,000"
7/18/2019 15:09,0,4,15,0,False,297,"20,99,07,742"
7/18/2019 15:07,0,1,130,0,False,298,"14,98,58,427"
7/18/2019 15:07,0,168,806,0,False,299,"5,95,61,526"
7/18/2019 15:07,0,1498,1390,0,False,300,"2,53,27,86,757"
7/18/2019 15:05,0,744,160,0,False,301,"9,56,37,10,00,00,00,00,000"
7/18/2019 15:03,0,567,1626,0,False,302,"42,31,86,005"
7/18/2019 15:03,0,7,46,0,False,303,"2,76,97,122"
7/18/2019 15:01,0,16,19,0,False,304,"9,74,01,823"
7/18/2019 15:01,0,84,248,0,False,305,"8,18,88,10,00,00,00,00,000"
7/18/2019 14:59,0,599,1774,0,False,306,"33,03,34,823"
7/18/2019 14:59,2,312,223,0,False,307,"43,83,66,860"
7/18/2019 14:58,0,0,7,0,False,308,"10,24,53,00,00,00,00,00,000"
7/18/2019 14:56,0,16,19,0,False,309,"9,74,01,823"
7/18/2019 14:55,0,6,180,0,False,310,"25,31,95,058"
7/18/2019 14:55,0,14,157,0,False,311,"7,81,12,00,00,00,00,00,000"
7/18/2019 14:53,0,16,19,0,False,312,"9,74,01,823"
7/18/2019 14:52,11,662,246,0,False,313,"24,73,35,022"
7/18/2019 14:51,0,127,480,0,False,314,"1,11,92,77,902"
7/18/2019 14:49,0,48,402,0,False,315,"48,81,73,093"
7/18/2019 14:47,0,0,21,0,False,316,"11,02,09,00,00,00,00,00,000"
7/18/2019 14:46,1,6,63,0,False,317,"9,87,52,60,00,00,00,00,000"
7/18/2019 14:46,1,71,195,0,False,318,"9,95,61,90,00,00,00,00,000"
7/18/2019 14:46,3,25,50,2,False,319,"4,67,30,01,913"
7/18/2019 14:45,0,213,10,0,False,320,"3,24,47,17,112"
7/18/2019 14:45,0,96,384,0,False,321,"4,72,10,62,092"
7/18/2019 14:40,0,20,83,0,False,322,"4,89,09,424"
7/18/2019 14:39,0,192,519,0,False,323,"12,84,59,175"
7/18/2019 14:39,0,11,6,0,False,324,"2,88,83,14,718"
7/18/2019 14:38,0,29,409,0,False,325,"36,44,16,183"
7/18/2019 14:38,69,16,130,0,False,326,"42,57,20,775"
7/18/2019 14:36,0,32,153,0,False,327,"16,90,84,144"
7/18/2019 14:36,2,21,976,0,False,328,"7,79,24,00,00,00,00,00,000"
7/18/2019 14:35,0,21,96,0,False,329,"1,06,43,96,797"
7/18/2019 14:32,0,0,22,0,False,330,"11,51,81,00,00,00,00,00,000"
7/18/2019 14:31,1,27,168,0,False,331,"1,65,99,09,511"
7/18/2019 14:30,0,5246,310,0,False,332,"2,91,63,96,684"
7/18/2019 14:28,0,192,519,0,False,333,"12,84,59,175"
7/18/2019 14:27,3,65,577,0,False,334,"4,93,81,921"
7/18/2019 14:25,0,329,721,0,False,335,"2,12,92,401"
7/18/2019 14:24,0,21,96,0,False,336,"1,06,43,96,797"
7/18/2019 14:24,0,0,0,0,False,337,"11,51,86,00,00,00,00,00,000"
7/18/2019 14:23,0,0,22,0,False,338,"11,51,81,00,00,00,00,00,000"
